Numéro de boucle;Libellé;Jour;Total
725;Pont Tabarly vers Sud;2022-05-01;342
744;Calvaire vers Est;2022-05-01;436
664;Bonduelle vers sud;2022-05-01;566
668;De Gaulle vers sud;2022-05-01;427
672;Pont de Pornic vers Nord;2022-05-01;467
674;Pont Haudaudine vers Sud;2022-05-01;391
676;Pont Willy Brandt vers Beaulieu;2022-05-01;370
727;Pont Tabarly vers Nord;2022-05-01;442
995;Ceineray vers Ouest;2022-05-01;683
1057;;2022-05-01;0
8673;;2022-05-01;364
9999;;2022-05-01;279
785;50 Otages Vers Sud;2022-05-01;1956
787;50 Otages Vers Sud;2022-05-01;1257
788;50 Otages Vers Nord;2022-05-01;1612
1055;;2022-05-01;0
670;Pont de Pirmil vers Sud;2022-05-01;382
679;Bd Malakoff vers Gare Sud;2022-05-01;77
677;Pont Willy Brandt vers Malakoff;2022-05-01;313
786;50 Otages Vers Nord;2022-05-01;2067
881;Madeleine vers Sud;2022-05-01;1553
947;Bd Malakoff vers Ouest;2022-05-01;489
949;avenue de la Libération vers Sud;2022-05-01;150
959;Sorinières Vers Sud;2022-05-01;50
977;3 Continents vers Nord;2022-05-01;646
987;Tremie vers Est;2022-05-01;68
1056;;2022-05-01;0
683;pont Anne de Bretagne vers Nord;2022-05-01;644
742;Philippot vers Est;2022-05-01;715
944;Magellan vers Est;2022-05-01;257
948;Bd Malakoff vers Est;2022-05-01;444
979;3 Continents vers Sud;2022-05-01;542
981;Pont Tabarly vers Nord;2022-05-01;202
994;Ceineray vers Est;2022-05-01;496
1041;;2022-05-01;113
1042;;2022-05-01;146
8672;;2022-05-01;447
667;Entrée pont Audibert vers Nord;2022-05-01;1870
746;Chemin de halage Tortière vers Sud;2022-05-01;0
945;Magellan vers Ouest;2022-05-01;428
960;Sorinières Vers Nord;2022-05-01;43
997;Van Iseghem vers Sud;2022-05-01;634
9672;;2022-05-01;535
665;Bonduelle vers Nord;2022-05-01;496
680;Stalingrad vers ouest;2022-05-01;525
880;Madeleine vers Nord;2022-05-01;1330
946;Magellan vers Est;2022-05-01;548
950;avenue de la Libération vers Nord;2022-05-01;335
989;Kennedy vers Ouest;2022-05-01;717
996;Van Iseghem vers Nord;2022-05-01;693
9998;;2022-05-01;502
666;Pont Audibert vers Sud;2022-05-01;150
673;Pont de Pornic vers Sud;2022-04-30;384
675;Pont Haudaudine vers Nord;2022-04-30;559
725;Pont Tabarly vers Sud;2022-04-30;242
727;Pont Tabarly vers Nord;2022-04-30;237
745;Calvaire vers Ouest;2022-04-30;114
786;50 Otages Vers Nord;2022-04-30;2006
847;Entrée pont Audibert vers Sud;2022-04-30;1764
880;Madeleine vers Nord;2022-04-30;1491
